a,c,g,j,k,Y
151.81,41.542,248.1,10.392000000000001,144.79,19.522000000000002
151.81,41.455,248.1,10.354000000000001,144.82,18.574
155.41,41.455,250.3,10.579,144.82,18.614
158.1,41.455,260.15,10.638,146.9,19.308
157.97,41.407,256.4,10.796,149.11,19.337
158.49,37.066,256.9,10.776,149.54,19.262999999999998
158.2,39.481,255.52,10.811,151.03,19.209
158.18,39.928000000000004,254.06,10.679,144.1,18.482
155.28,39.928000000000004,251.66,10.709000000000001,143.01,18.984
154.28,39.617,243.08,10.609000000000002,145.38,18.783
157.0,39.617,246.75,10.744000000000002,148.65,18.875
159.96,47.94,258.09,10.734000000000002,153.83,19.457
163.39,41.672,258.04,10.640999999999998,155.21,19.586
163.42,40.865,262.08,10.761,155.28,19.844
162.74,50.303999999999995,264.13,10.761,155.28,19.386
162.74,47.172,264.06,10.762,155.26,19.406
162.49,51.217,262.9,10.753,155.29,19.702
162.66,48.995,265.98,10.738,154.78,19.741
162.66,39.785,247.54,10.73,154.5,19.344
162.66,37.080999999999996,253.2,10.710999999999999,155.26,19.255
162.13,37.742,261.89,10.709000000000001,154.87,19.74
163.7,37.742,242.82,10.709000000000001,155.75,19.009
165.44,41.135,244.67,10.959000000000001,155.77,19.115
165.44,39.378,249.95,10.962,155.77,19.12
165.53,40.785,247.94,10.945,156.87,18.958
161.99,43.82899999999999,233.3,10.755999999999998,153.57,17.972
164.13,41.603,266.32,10.786,155.94,19.574
164.13,42.175,252.65,10.748,157.12,19.159000000000002
164.09,38.482,256.18,10.755,155.48,19.234
162.12,43.674,254.45,10.764000000000001,152.4,19.349
163.06,44.74100000000001,252.78,10.763,149.03,19.381
162.67,40.631,258.76,10.790999999999999,147.77,19.573
161.46,40.79,260.13,10.787,147.37,19.570999999999998
163.15,40.79,259.5,10.773,147.46,19.463
162.51,37.772,255.5,10.824000000000002,146.94,19.463
162.61,38.236,255.07,10.704,146.97,19.502
161.39,38.327,237.25,10.669,146.42,19.002
161.73,40.38,239.42,10.685,145.45,18.972
158.22,29.741999999999997,216.45,10.540999999999999,144.32,18.534000000000002
160.13,28.668000000000003,215.51,10.625,144.16,18.590999999999998
162.09,36.141,228.9,10.68,148.84,18.592
162.9,35.794000000000004,227.04,10.602,151.5,18.915
161.57,36.569,230.81,10.642999999999999,149.88,18.92
160.9,35.339,230.9,10.634,149.86,18.836
160.05,35.81,230.9,10.614,149.99,18.795
161.34,33.422,233.74,10.620999999999999,147.2,18.805
159.5,34.121,231.7,10.612,145.67,18.805
158.94,35.709,233.41,10.609000000000002,144.2,18.625999999999998
158.33,32.263000000000005,217.54,10.642000000000001,142.54,18.557000000000002
158.54,29.436999999999998,220.4,10.422,147.77,18.557000000000002
160.69,56.145,248.47,10.519,151.63,19.102999999999998
160.75,40.32,251.44,10.45,150.46,19.454
160.54,37.001999999999995,254.62,10.453,150.99,19.636
157.99,40.900999999999996,247.5,10.42,149.51,19.096
158.74,52.086999999999996,251.36,10.397,146.78,19.479
154.95,36.887,237.29,9.9957,141.09,18.843
153.52,36.176,232.27,9.8996,140.24,18.373
153.84,37.455,234.09,9.949,140.05,18.477999999999998
173.99,42.336999999999996,245.29,10.383,156.64,17.406
173.38,36.257,252.4,10.637,155.75,17.496
171.08,41.155,251.76,10.588,152.82,18.233
176.16,47.91,264.13,10.585999999999999,151.77,18.47
177.53,51.849,263.64,10.607999999999999,153.03,18.462
173.57,37.703,245.05,10.623,153.87,17.906
173.91,37.954,247.21,10.632,153.37,18.346
173.91,37.954,237.87,10.689,155.01,18.204
175.44,38.27,229.75,10.850999999999999,157.57,18.495
175.44,37.641999999999996,248.62,11.235,164.98,19.028
175.31,37.736,248.2,11.272,164.98,18.815
177.68,37.736,241.92,11.254000000000001,164.7,18.721
180.88,36.882,242.88,11.287,166.19,18.843
179.18,40.766,243.71,11.228,165.44,18.869
